Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
Badian,Cebu,MALE,13214.0,13848,634.0,4.8
Badiangan,Iloilo,FEMALE,8769.0,8592,-177.0,-2.02
Badiangan,Iloilo,MALE,8745.0,8768,23.0,0.26
Badoc,Ilocos Norte,FEMALE,11030.0,11081,51.0,0.46
Badoc,Ilocos Norte,MALE,10793.0,11113,320.0,2.96
Bagabag,Nueva Vizcaya,FEMALE,10514.0,11058,544.0,5.17
Bagabag,Nueva Vizcaya,MALE,9959.0,10977,1018.0,10.22
Bagac,Bataan,FEMALE,12144.0,12149,5.0,0.04
Bagac,Bataan,MALE,12241.0,12274,33.0,0.27
Bagamanoc,Catanduanes,FEMALE,4344.0,4184,-160.0,-3.68
Bagamanoc,Catanduanes,MALE,4646.0,4432,-214.0,-4.61
Baganga,Davao Oriental,FEMALE,16787.0,17706,919.0,5.47
Baganga,Davao Oriental,MALE,18237.0,19433,1196.0,6.56
Baggao,Cagayan,FEMALE,23344.0,23422,78.0,0.33
Baggao,Cagayan,MALE,23711.0,24638,927.0,3.91
Bago City,Negros Occidental,FEMALE,51337.0,51427,90.0,0.18
Bago City,Negros Occidental,MALE,49031.0,48372,-659.0,-1.34
Baguio City,Benguet,FEMALE,90884.0,93145,2261.0,2.49
Baguio City,Benguet,MALE,73241.0,75073,1832.0,2.5
Bagulin,La Union,FEMALE,4286.0,4467,181.0,4.22
Bagulin,La Union,MALE,4758.0,5141,383.0,8.05
Bagumbayan,Sultan Kudarat,FEMALE,20380.0,20872,492.0,2.41
Bagumbayan,Sultan Kudarat,MALE,23487.0,24281,794.0,3.38
Bais City,Negros Oriental,FEMALE,29050.0,31925,2875.0,9.9
Bais City,Negros Oriental,MALE,30165.0,33395,3230.0,10.71
Bakun,Benguet,FEMALE,4465.0,4585,120.0,2.69
Bakun,Benguet,MALE,5391.0,5677,286.0,5.31
Balabac,Palawan,FEMALE,10849.0,11684,835.0,7.7
Balabac,Palawan,MALE,11927.0,12408,481.0,4.03
Balabagan,Lanao Del Sur,FEMALE,7934.0,8931,997.0,12.57
Balabagan,Lanao Del Sur,MALE,7882.0,8849,967.0,12.27
Balagtas (Bigaa),Bulacan,FEMALE,25450.0,26770,1320.0,5.19
Balagtas (Bigaa),Bulacan,MALE,23216.0,24733,1517.0,6.53
Balamban,Cebu,FEMALE,26749.0,27383,634.0,2.37
Balamban,Cebu,MALE,26597.0,26702,105.0,0.39
Balanga  City,Bataan,FEMALE,36909.0,36580,-329.0,-0.89
Balanga  City,Bataan,MALE,33860.0,32891,-969.0,-2.86
Balangiga,Eastern Samar,FEMALE,5086.0,5127,41.0,0.81
Balangiga,Eastern Samar,MALE,5415.0,5490,75.0,1.39
Balangkayan,Eastern Samar,FEMALE,3776.0,3761,-15.0,-0.4
Balangkayan,Eastern Samar,MALE,3825.0,3960,135.0,3.53
Balaoan,La Union,FEMALE,12619.0,12922,303.0,2.4
Balaoan,La Union,MALE,12750.0,13220,470.0,3.69
Balasan,Iloilo,FEMALE,11318.0,11461,143.0,1.26
Balasan,Iloilo,MALE,11239.0,11336,97.0,0.86
Balatan,Camarines Sur,FEMALE,10019.0,10282,263.0,2.63
Balatan,Camarines Sur,MALE,9872.0,10373,501.0,5.07
Balayan,Batangas,FEMALE,27714.0,29316,1602.0,5.78
Balayan,Batangas,MALE,26140.0,27852,1712.0,6.55
Balbalan,Kalinga,FEMALE,4160.0,4214,54.0,1.3
Balbalan,Kalinga,MALE,4991.0,5388,397.0,7.95
Baleno,Masbate,FEMALE,9488.0,9453,-35.0,-0.37
Baleno,Masbate,MALE,9854.0,9509,-345.0,-3.5
Baler,Aurora,FEMALE,13255.0,14176,921.0,6.95
Baler,Aurora,MALE,12930.0,13962,1032.0,7.98
Balete,Aklan,FEMALE,9093.0,8961,-132.0,-1.45
Balete,Aklan,MALE,9018.0,8914,-104.0,-1.15
Balete,Batangas,FEMALE,7267.0,7718,451.0,6.21
Balete,Batangas,MALE,6914.0,7288,374.0,5.41
Baliangao,Misamis Occidental,FEMALE,6454.0,6257,-197.0,-3.05
Baliangao,Misamis Occidental,MALE,6500.0,6228,-272.0,-4.18
Baliguian,Zamboanga Del Norte,FEMALE,7498.0,7276,-222.0,-2.96
Baliguian,Zamboanga Del Norte,MALE,8575.0,8396,-179.0,-2.09
Balilihan,Bohol,FEMALE,6730.0,7274,544.0,8.08
Balilihan,Bohol,MALE,6750.0,7395,645.0,9.56
Balindong (Watu),Lanao Del Sur,FEMALE,8430.0,10088,1658.0,19.67
Balindong (Watu),Lanao Del Sur,MALE,7352.0,9080,1728.0,23.5
Balingasag,Misamis Oriental,FEMALE,24122.0,25041,919.0,3.81
Balingasag,Misamis Oriental,MALE,23646.0,24712,1066.0,4.51
Balingoan,Misamis Oriental,FEMALE,4280.0,4370,90.0,2.1
Balingoan,Misamis Oriental,MALE,4329.0,4449,120.0,2.77
Baliuag,Bulacan,FEMALE,53420.0,55833,2413.0,4.52
Baliuag,Bulacan,MALE,48526.0,51243,2717.0,5.6
Ballesteros,Cagayan,FEMALE,10414.0,11457,1043.0,10.02
Ballesteros,Cagayan,MALE,9918.0,11135,1217.0,12.27
Baloi,Lanao Del Norte,FEMALE,11479.0,11865,386.0,3.36
Baloi,Lanao Del Norte,MALE,10023.0,10324,301.0,3.0
Balud,Masbate,FEMALE,13104.0,13875,771.0,5.88
Balud,Masbate,MALE,13414.0,14167,753.0,5.61
Balungao,Pangasinan,FEMALE,10120.0,10308,188.0,1.86
Balungao,Pangasinan,MALE,10046.0,10627,581.0,5.78
Bamban,Tarlac,FEMALE,21126.0,22774,1648.0,7.8
Bamban,Tarlac,MALE,20244.0,22234,1990.0,9.83
Bambang,Nueva Vizcaya,FEMALE,16697.0,17034,337.0,2.02
Bambang,Nueva Vizcaya,MALE,15902.0,16691,789.0,4.96
