province,age,registered_2022
Cagayan,27,19790
Cagayan,28,19111
Cagayan,29,18743
Cagayan,30,18186
Cagayan,31,17881
Cagayan,32,17128
Cagayan,33,16038
Cagayan,34,15886
Cagayan,35,15087
Cagayan,36,14892
Cagayan,37,14516
Cagayan,38,14399
Cagayan,39,14619
Cagayan,40,14283
Cagayan,41,13972
Cagayan,42,14609
Cagayan,43,13814
Cagayan,44,13736
Cagayan,45,13164
Cagayan,46,12815
Cagayan,47,12602
Cagayan,48,12114
Cagayan,49,12767
Cagayan,50,12069
Cagayan,51,12117
Cagayan,52,12413
Cagayan,53,12125
Cagayan,54,10946
Cagayan,55,10849
Cagayan,56,10495
Cagayan,57,10770
Cagayan,58,10963
Cagayan,59,11131
Cagayan,60_and_over,131987
Camarines Norte,18,9554
Camarines Norte,19,11039
Camarines Norte,20,11141
Camarines Norte,21,11875
Camarines Norte,22,11216
Camarines Norte,23,10659
Camarines Norte,24,10493
Camarines Norte,25,10413
Camarines Norte,26,10428
Camarines Norte,27,9977
Camarines Norte,28,9807
Camarines Norte,29,9674
Camarines Norte,30,9460
Camarines Norte,31,9530
Camarines Norte,32,8657
Camarines Norte,33,8715
Camarines Norte,34,8556
Camarines Norte,35,7857
Camarines Norte,36,7484
Camarines Norte,37,7368
Camarines Norte,38,7213
Camarines Norte,39,7208
Camarines Norte,40,7011
Camarines Norte,41,6985
Camarines Norte,42,7203
Camarines Norte,43,6761
Camarines Norte,44,6540
Camarines Norte,45,6273
Camarines Norte,46,6359
Camarines Norte,47,6071
Camarines Norte,48,5661
Camarines Norte,49,5876
Camarines Norte,50,5716
Camarines Norte,51,5765
Camarines Norte,52,6065
Camarines Norte,53,5914
Camarines Norte,54,5423
Camarines Norte,55,5441
Camarines Norte,56,5213
Camarines Norte,57,5076
Camarines Norte,58,4826
Camarines Norte,59,4887
Camarines Norte,60_and_over,57481
Camarines Sur,18,34387
Camarines Sur,19,41239
Camarines Sur,20,39848
Camarines Sur,21,42977
Camarines Sur,22,39880
Camarines Sur,23,37312
Camarines Sur,24,38306
Camarines Sur,25,34686
Camarines Sur,26,35322
Camarines Sur,27,34357
Camarines Sur,28,34235
Camarines Sur,29,32829
Camarines Sur,30,32452
Camarines Sur,31,30956
Camarines Sur,32,29189
Camarines Sur,33,28091
Camarines Sur,34,29010
Camarines Sur,35,27365
Camarines Sur,36,26249
Camarines Sur,37,24578
Camarines Sur,38,24415
Camarines Sur,39,24542
Camarines Sur,40,23437
Camarines Sur,41,23853
Camarines Sur,42,24130
Camarines Sur,43,22493
Camarines Sur,44,21621
Camarines Sur,45,21426
Camarines Sur,46,20666
Camarines Sur,47,19905
Camarines Sur,48,18628
Camarines Sur,49,19885
Camarines Sur,50,17802
Camarines Sur,51,18692
Camarines Sur,52,19079
Camarines Sur,53,18468
Camarines Sur,54,16937
Camarines Sur,55,17230
Camarines Sur,56,16516
Camarines Sur,57,16402
Camarines Sur,58,15956
Camarines Sur,59,15512
Camarines Sur,60_and_over,196690
Camiguin,18,1436
Camiguin,19,1674
Camiguin,20,1682
Camiguin,21,1758
Camiguin,22,1823
Camiguin,23,1637
Camiguin,24,1607
Camiguin,25,1512
Camiguin,26,1566
Camiguin,27,1590
Camiguin,28,1551
Camiguin,29,1529
Camiguin,30,1475
Camiguin,31,1475
Camiguin,32,1384
Camiguin,33,1450
Camiguin,34,1338
Camiguin,35,1189
Camiguin,36,1159
Camiguin,37,1186
Camiguin,38,1140
Camiguin,39,1186
Camiguin,40,1071
Camiguin,41,1113
Camiguin,42,1144
Camiguin,43,1157
Camiguin,44,1090
Camiguin,45,1047
Camiguin,46,1018
Camiguin,47,922
Camiguin,48,990
Camiguin,49,1021
Camiguin,50,1018
Camiguin,51,1025
Camiguin,52,1003
Camiguin,53,996
Camiguin,54,952
Camiguin,55,967
Camiguin,56,926
Camiguin,57,936
Camiguin,58,930
Camiguin,59,921
Camiguin,60_and_over,11496
Capiz,18,11116
Capiz,19,13293
Capiz,20,13776
Capiz,21,14922
Capiz,22,14673
Capiz,23,13399
Capiz,24,13929
Capiz,25,13060
Capiz,26,13123
Capiz,27,12933
Capiz,28,12954
Capiz,29,12282
Capiz,30,12346
Capiz,31,11988
Capiz,32,11422
Capiz,33,11154
Capiz,34,10984
Capiz,35,10353
Capiz,36,9435
Capiz,37,9769
Capiz,38,9559
Capiz,39,10024
Capiz,40,9615
Capiz,41,9279
Capiz,42,9631
Capiz,43,9134
Capiz,44,8812
Capiz,45,8752
Capiz,46,8553
Capiz,47,8252
Capiz,48,7757
Capiz,49,8299
Capiz,50,7855
Capiz,51,8025
Capiz,52,8245
Capiz,53,8126
Capiz,54,7808
Capiz,55,7279
Capiz,56,7341
Capiz,57,7358
Capiz,58,7187
Capiz,59,7049
Capiz,60_and_over,98228
Catanduanes,18,5736
Catanduanes,19,5975
Catanduanes,20,6014
Catanduanes,21,6475
Catanduanes,22,6040
Catanduanes,23,5697
Catanduanes,24,6096
Catanduanes,25,5397
Catanduanes,26,5523
Catanduanes,27,5540
Catanduanes,28,5311
Catanduanes,29,5125
Catanduanes,30,4988
Catanduanes,31,4780
Catanduanes,32,4321
Catanduanes,33,4205
Catanduanes,34,4254
Catanduanes,35,3779
Catanduanes,36,3808
Catanduanes,37,3581
Catanduanes,38,3454
Catanduanes,39,3511
Catanduanes,40,3468
Catanduanes,41,3398
Catanduanes,42,3354
Catanduanes,43,3216
Catanduanes,44,3068
Catanduanes,45,3151
Catanduanes,46,2909
Catanduanes,47,2909
Catanduanes,48,2964
Catanduanes,49,2762
Catanduanes,50,2587
Catanduanes,51,2820
Catanduanes,52,2873
Catanduanes,53,2831
Catanduanes,54,2630
Catanduanes,55,2667
Catanduanes,56,2496
Catanduanes,57,2501
Catanduanes,58,2416
Catanduanes,59,2359
Catanduanes,60_and_over,31883
Cavite,18,31138
Cavite,19,47045
Cavite,20,50941
Cavite,21,57492
Cavite,22,57562
Cavite,23,55852
Cavite,24,60606
Cavite,25,60686
Cavite,26,59877
Cavite,27,58528
Cavite,28,58111
Cavite,29,58314
Cavite,30,56851
Cavite,31,56927
Cavite,32,54618
Cavite,33,51875
Cavite,34,53885
Cavite,35,52320
Cavite,36,50001
Cavite,37,49419
Cavite,38,49745
Cavite,39,49876
Cavite,40,49285
Cavite,41,50508
Cavite,42,50254
Cavite,43,48439
Cavite,44,45780
Cavite,45,44048
Cavite,46,42310
Cavite,47,39655
Cavite,48,39113
Cavite,49,39158
Cavite,50,37618
Cavite,51,37520
