municipality,province,absolute_change
CALATAGAN,BATANGAS,1177.0
CALATRAVA,NEGROS OCCIDENTAL,-314.0
CALATRAVA,ROMBLON,406.0
CALAUAG,QUEZON,3244.0
CALAUAN,LAGUNA,5058.0
CALAYAN,CAGAYAN,-267.0
CALBAYOG CITY,SAMAR (WESTERN SAMAR),8322.0
CALBIGA,SAMAR (WESTERN SAMAR),800.0
CALINOG,ILOILO,3147.0
CALINTAAN,OCCIDENTAL MINDORO,2221.0
CALOOCAN CITY,NCR,-19168.0
CALUBIAN,LEYTE,695.0
CALUMPIT,BULACAN,2298.0
CALUYA,ANTIQUE,1676.0
CAMALANIUGAN,CAGAYAN,348.0
CAMALIG,ALBAY,2590.0
CAMALIGAN,CAMARINES SUR,671.0
CAMILING,TARLAC,1874.0
CAN-AVID,EASTERN SAMAR,797.0
CANAMAN,CAMARINES SUR,1491.0
CANDABA,PAMPANGA,4858.0
CANDELARIA,QUEZON,8478.0
CANDELARIA,ZAMBALES,1836.0
CANDIJAY,BOHOL,116.0
CANDON CITY,ILOCOS SUR,334.0
CANDONI,NEGROS OCCIDENTAL,1137.0
CANLAON CITY,NEGROS ORIENTAL,1094.0
CANTILAN,SURIGAO DEL SUR,1205.0
CAOAYAN,ILOCOS SUR,550.0
CAPALONGA,CAMARINES NORTE,2381.0
CAPAS,TARLAC,13414.0
CAPOOCAN,LEYTE,1657.0
CAPUL,NORTHERN SAMAR,1100.0
CARAGA,DAVAO ORIENTAL,2139.0
CARAMOAN,CAMARINES SUR,2471.0
CARAMORAN,CATANDUANES,403.0
CARASI,ILOCOS NORTE,-46.0
CARCAR CITY,CEBU,7733.0
CARDONA,RIZAL,2957.0
CARIGARA,LEYTE,2074.0
CARLES,ILOILO,4990.0
CARMEN,AGUSAN DEL NORTE,509.0
CARMEN,BOHOL,1955.0
CARMEN,CEBU,3754.0
CARMEN,COTABATO (NORTH COTABATO),-522.0
CARMEN,DAVAO (DAVAO DEL NORTE),4267.0
CARMEN,SURIGAO DEL SUR,171.0
CARMONA,CAVITE,3008.0
CARRANGLAN,NUEVA ECIJA,2781.0
CARRASCAL,SURIGAO DEL SUR,1018.0
CASIGURAN,AURORA,705.0
CASIGURAN,SORSOGON,1388.0
CASTILLA,SORSOGON,2447.0
CASTILLEJOS,ZAMBALES,4391.0
CATAINGAN,MASBATE,826.0
CATANAUAN,QUEZON,3700.0
CATARMAN,CAMIGUIN,-467.0
CATARMAN,NORTHERN SAMAR,4018.0
CATBALOGAN CITY,SAMAR (WESTERN SAMAR),9433.0
CATEEL,DAVAO ORIENTAL,1121.0
CATIGBIAN,BOHOL,666.0
CATMON,CEBU,2021.0
CATUBIG,NORTHERN SAMAR,-971.0
CAUAYAN,NEGROS OCCIDENTAL,2705.0
CAUAYAN CITY,ISABELA,6588.0
